n:151 mse_avg:272.78 mse_y:407.94 mse_u:2.92 mse_v:1.96 psnr_avg:23.77 psnr_y:22.02 psnr_u:43.47 psnr_v:45.20 
n:152 mse_avg:238.45 mse_y:356.70 mse_u:2.32 mse_v:1.54 psnr_avg:24.36 psnr_y:22.61 psnr_u:44.48 psnr_v:46.26 
n:153 mse_avg:155.72 mse_y:232.54 mse_u:2.51 mse_v:1.64 psnr_avg:26.21 psnr_y:24.47 psnr_u:44.14 psnr_v:45.98 
n:154 mse_avg:216.61 mse_y:323.86 mse_u:2.54 mse_v:1.68 psnr_avg:24.77 psnr_y:23.03 psnr_u:44.09 psnr_v:45.89 
n:155 mse_avg:225.02 mse_y:336.48 mse_u:2.49 mse_v:1.73 psnr_avg:24.61 psnr_y:22.86 psnr_u:44.17 psnr_v:45.75 
n:156 mse_avg:319.39 mse_y:477.88 mse_u:2.83 mse_v:1.96 psnr_avg:23.09 psnr_y:21.34 psnr_u:43.61 psnr_v:45.21 
n:157 mse_avg:464.05 mse_y:694.47 mse_u:3.64 mse_v:2.79 psnr_avg:21.47 psnr_y:19.71 psnr_u:42.52 psnr_v:43.68 
n:158 mse_avg:259.42 mse_y:388.22 mse_u:2.14 mse_v:1.49 psnr_avg:23.99 psnr_y:22.24 psnr_u:44.84 psnr_v:46.41 
n:159 mse_avg:152.92 mse_y:228.57 mse_u:1.88 mse_v:1.33 psnr_avg:26.29 psnr_y:24.54 psnr_u:45.38 psnr_v:46.89 
n:160 mse_avg:122.54 mse_y:183.02 mse_u:1.84 mse_v:1.33 psnr_avg:27.25 psnr_y:25.51 psnr_u:45.49 psnr_v:46.91 
n:161 mse_avg:280.80 mse_y:420.33 mse_u:2.00 mse_v:1.44 psnr_avg:23.65 psnr_y:21.89 psnr_u:45.11 psnr_v:46.54 
n:162 mse_avg:299.88 mse_y:448.92 mse_u:2.09 mse_v:1.52 psnr_avg:23.36 psnr_y:21.61 psnr_u:44.92 psnr_v:46.31 
n:163 mse_avg:175.83 mse_y:262.86 mse_u:2.03 mse_v:1.53 psnr_avg:25.68 psnr_y:23.93 psnr_u:45.06 psnr_v:46.29 
n:164 mse_avg:413.69 mse_y:619.18 mse_u:3.03 mse_v:2.41 psnr_avg:21.96 psnr_y:20.21 psnr_u:43.32 psnr_v:44.32 
n:165 mse_avg:378.40 mse_y:566.66 mse_u:2.12 mse_v:1.63 psnr_avg:22.35 psnr_y:20.60 psnr_u:44.87 psnr_v:46.02 
n:166 mse_avg:129.75 mse_y:193.93 mse_u:1.59 mse_v:1.17 psnr_avg:27.00 psnr_y:25.25 psnr_u:46.10 psnr_v:47.46 
n:167 mse_avg:412.92 mse_y:618.21 mse_u:2.58 mse_v:2.12 psnr_avg:21.97 psnr_y:20.22 psnr_u:44.02 psnr_v:44.88 
n:168 mse_avg:393.08 mse_y:588.71 mse_u:1.99 mse_v:1.62 psnr_avg:22.19 psnr_y:20.43 psnr_u:45.15 psnr_v:46.02 
